,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
99,0.59,0.382,-8.544,0.128,0.507,6.67e-05,0.131,0.565,85.118,0
100,0.629,0.744,-6.124,0.0409,0.0769,0.247,0.194,0.451,89.021,0
101,0.573,0.422,-7.621,0.0678,0.551,1.31e-05,0.102,0.693,124.357,0
102,0.649,0.655,-5.534,0.0652,0.307,0.0,0.22,0.793,92.9,3
103,0.7,0.657,-7.121,0.0603,0.0816,3.63e-06,0.115,0.479,91.554,3
104,0.526,0.696,-6.216,0.0558,0.21,0.000461,0.127,0.303,169.908,0
105,0.632,0.645,-5.288,0.0266,0.0352,0.0,0.102,0.184,101.014,0
106,0.419,0.619,-3.892,0.0874,0.455,0.0,0.111,0.346,155.54,0
107,0.803,0.387,-5.839,0.0723,0.207,1.98e-06,0.217,0.5,136.038,0
108,0.799,0.61,-5.039,0.0376,0.172,3.65e-05,0.107,0.597,126.044,3
109,0.531,0.525,-6.5,0.0671,0.232,0.0,0.441,0.502,66.9,0
110,0.744,0.312,-5.851,0.0408,0.675,0.155,0.121,0.283,92.01,0
111,0.575,0.738,-3.65,0.0712,0.208,0.0,0.153,0.391,82.609,0
112,0.606,0.315,-12.457,0.0485,0.814,0.00699,0.0996,0.387,83.952,0
113,0.659,0.506,-5.308,0.0463,0.255,0.0,0.142,0.335,124.981,0
114,0.855,0.678,-6.276,0.189,0.0569,3.69e-05,0.412,0.852,99.029,2
115,0.373,0.506,-7.35,0.0721,0.83,3.24e-05,0.295,0.376,95.636,0
116,0.58,0.492,-6.72,0.109,0.245,0.0,0.0901,0.355,84.555,0
117,0.498,0.599,-5.596,0.0949,0.658,2.91e-06,0.188,0.596,176.036,0
118,0.521,0.565,-9.596,0.0681,0.136,1.65e-06,0.134,0.261,114.562,0
119,0.538,0.606,-6.423,0.421,0.459,0.0,0.163,0.429,79.714,2
120,0.467,0.624,-8.511,0.0508,0.143,0.000899,0.145,0.31,141.889,0
121,0.594,0.446,-6.654,0.0694,0.755,0.0,0.113,0.328,125.325,0
122,0.707,0.541,-7.803,0.043,0.154,4e-05,0.125,0.505,131.975,0
123,0.708,0.579,-5.856,0.0277,0.52,4.1e-05,0.118,0.539,120.023,0
124,0.612,0.636,-5.328,0.0899,0.144,0.0,0.126,0.221,131.922,0
125,0.758,0.552,-6.205,0.0346,0.0452,2.6e-06,0.0613,0.489,98.976,3
126,0.611,0.626,-5.087,0.0778,0.337,0.0,0.115,0.48,100.129,0
127,0.714,0.407,-6.806,0.0422,0.522,0.00618,0.128,0.358,76.978,0
128,0.78,0.689,-5.668,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,3
129,0.824,0.453,-9.604,0.0968,0.146,0.0273,0.0896,0.552,119.959,3
130,0.608,0.409,-11.498,0.0436,0.796,0.00295,0.0953,0.267,80.029,0
131,0.639,0.641,-6.798,0.0344,0.0649,1.58e-05,0.137,0.419,111.017,0
132,0.914,0.643,-3.862,0.134,0.0498,0.0,0.0618,0.764,105.033,3
133,0.674,0.548,-8.537,0.0898,0.432,0.091,0.0751,0.378,195.937,0
134,0.462,0.821,-3.678,0.243,0.216,0.0,0.137,0.487,79.131,2
135,0.247,0.299,-6.083,0.0315,0.899,0.0,0.131,0.172,177.115,0
136,0.729,0.513,-7.507,0.0554,0.125,0.0,0.112,0.775,97.254,3
137,0.559,0.551,-7.231,0.132,0.141,0.0,0.11,0.392,143.008,0
138,0.506,0.531,-6.927,0.0855,0.53,0.0,0.108,0.707,136.961,0
